# 3.3.1.2 Initial Hamza
mother,'umm,,>um~
professor,'ustaadh,,>usotA*
where?,'ayna,,>ayona
bigger,'akbar,,>akobar
Islam,'islaam,,<isolAm
Iran,'iiraan,,<iyrAn

# 3.3.1.3 Medial Hamza
organization,hay'a,hay'ah,hayo}ap
deputy,naa'ib,,nA}ib
Israel,'israa'iil,,<isorA}yl
well,bi'r,,bi}r
refuge,maw'il,,mawo}il
he was asked,su'ila,,su}ila
educator,mu'addib,,mu&ad~ib
affairs,shu'uun,,$u&wn
he composes,yu'allif,,yu&al~if
question,su'aal,,su&Al
feminine,mu'annath,,mu&an~av
visa,ta'shiira,ta'shiirah,ta>o$yrap
she asked,sa'alat,,sa>alato
head,ra's,,ra>os
measures,'ijraa'aat,,<ijorA'At
attacks,ictidaa'aat,ectidaa'aat,AiEotidA'At,{EotidA'At
manliness/valor,muruu'a,muruu'ah,murw'ap
he wondered,tasaa'ala,,tasA'ala

# 3.3.1.4 Final Hamza
calmness,huduu',,hudw'
port,miinaa',,mynA'
free/innocent,barii',,bary'
part,juz',,juzo'
thing,shay',,$ayo'
burden,cib',,Eibo'
prophecy,tanabbu',,tanab~u&
shore,shaaTi',,$ATi}
warm,daafi',,dAf},dAfi}
principle,mabda',,maboda>
friends-NOM,'aSdiqaa'-u,,>aSodiqA'u,>aSodiqA' -u
our-friends-NOM,'aSdiqaa'-u-naa,,>aSodiqA&unA,>aSodiqA& -u -nA
our-friends-GEN,'aSdiqaa'-i-naa,,>aSodiqA}inA,>aSodiqA} -i -nA
our-friends-ACC,'aSdiqaa'-a-naa,,>aSodiqA'anA,>aSodiqA' -a -nA
he read,qara'-a,,qara>a,qara> -a
we read,qara'-naa,,qara>onA,qara>o -nA
they-MASC-read,qara'-uuaa,,qara&wA,qara& -wA
you-FEM-are-reading,ta-qra'-iina,,taqora}yna,ta- qora} -yna

# 3.3.2 hamza plus long /aa/ madda
Asia,'aasiyaa,,|syA,|siyA
final,'aaxir,,|xir
mirror,mir'aah,,miro|p
minarets,ma'aadhin,,ma|*in
the Quran,al-qur'aan,el-qur'aan,Aloqur|n,{lo- quro|no
establishments,munsha'aat,,muno$a|t
they-DUAL-began,bada'aa,,bada|

# 3.3.3 weak hamza (hamza-al-waSl)
The ministry is (over) there.,al-wizaarat-u hunaaka.,el-wizaarah-u hunaaka.,AlowizArapu hunAk.,{lo- wizArap -u hunAka.
Competition is strong.,al-munaafasat-u qawiyyat-un.,el-munaafasah-u qawiyyah-uN.,AlomunAfasapu qawiy~apN.,{lo- munAfasap -u qawiy~ap -N.
They are at the ministry.,hum fii l-wizaarat-i.,hum fii el-wizaarah-i.,humo fy AlowizArapi.,humo fy {lo- wizArap -i.
But the competition is strong.,laakinna l-munaafasat-a qawiyyat-un.,lAkinna el-munaafasah-a qawiyyah-uN.,lkin~a AlomunAfasapa qawiy~apN.,l`kin~a {lo- munAfasap -a qawiy~ap -N.

# 3.3.3.2 Certain Common Words
son,ibn,'ibn,Aibon,<ibon
name,ism,esm,Aisom,{som
woman,imra'a,emra'ah,Aimor>ap,{mora>ap
two,ithnaan,'ithnaan,AivonAn,<ivonAn
My son is traveling.,ibn-ii musaafir-un.,'ibn-ii musaafir-uN.,Aibony musAfirN.,<ibon -y musAfir -N.
The name of God.,ism-u llah-i.,'ism-u elllAh-i.,Aisomu All~h.,<isom -u {ll~`h -i.
He traveled with my son.,saafar-a maca ebn-ii.,,sAfar -a maEa {bon -y.
in the name of God,bi-sm-i-llaaah-i,bi-esm-i elllAh-i,biAsom All~h,bi- {som -i {ll~`h -i

# 3.3.3.3 Forms VII-X verbal nouns and past tense verbs
The people elected a new president.,intaxab-a l-shacb-u ra'iis-an jadiid-an.,entaxab-a elsh-shacb-u ra'iis-aN jadiid-aN.,Ainotaxaba Al$~aEobu ra}ysAF jadydAF.,{notaxab -a {l$- $aEob -u ra}ys -AF jadyd -AF.
And the people elected a new president.,wa-ntaxab-a l-shacb-u ra'iis-an jadiid-an.,wa-entaxab-a elsh-shacb-u ra'iis-aN jadiid-aN.,waAnotaxaba Al$~aEobu ra}ysAF jadydAF.,wa- {notaxab -a {l$- $aEob -u ra}ys -AF jadyd -AF.

# 3.3.3.4 Imperative verbs of forms I and VII-X
Listen.,istamic.,estamic.,AisotamiEo.,{sotamiEo.
So listen.,fa-estamic.,,faAsotamiEo.,fa- {sotamiEo.
Read these words.,iqra' haadhihi l-kalimaat-i.,eqra' hAdhihi el-kalimaat-i.,Aiqora>o h*ihi AlokalimAt.,{qora>o h`*ihi {lo- kalimAt -i.
